CCI,Control,Pub,
CCI-001545,AC-1_a,NIST_SP_800-53,
CCI-000001,AC-1_a,NIST_SP_800-53,
CCI-000002,AC-1_a,NIST_SP_800-53,
CCI-000003,AC-1_a,NIST_SP_800-53,
CCI-000001,AC-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000002,AC-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002106,AC-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002107,AC-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002108,AC-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000004,AC-1_a_2,NIST_SP_800-53_Revision_4,
CCI-000005,AC-1_a_2,NIST_SP_800-53_Revision_4,
CCI-002109,AC-1_a_2,NIST_SP_800-53_Revision_4,
CCI-001546,AC-1_b,NIST_SP_800-53,
CCI-000004,AC-1_b,NIST_SP_800-53,
CCI-000005,AC-1_b,NIST_SP_800-53,
CCI-000006,AC-1_b,NIST_SP_800-53,
CCI-001545,AC-1_b_1,NIST_SP_800-53_Revision_4,
CCI-000003,AC-1_b_1,NIST_SP_800-53_Revision_4,
CCI-001546,AC-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000006,AC-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000001,AC-1.1_(i_and_ii),NIST_SP_800-53A,
CCI-000002,AC-1.1_(iii),NIST_SP_800-53A,
CCI-000004,AC-1.1_(iv__and__v),NIST_SP_800-53A,
CCI-000005,AC-1.1_(vi),NIST_SP_800-53A,
CCI-001545,AC-1.2_(i),NIST_SP_800-53A,
CCI-000003,AC-1.2_(ii),NIST_SP_800-53A,
CCI-001546,AC-1.2_(iii),NIST_SP_800-53A,
CCI-000006,AC-1.2_(iv),NIST_SP_800-53A,
CCI-000054,AC-10,NIST_SP_800-53,
CCI-000054,AC-10,NIST_SP_800-53_Revision_4,
CCI-000055,AC-10,NIST_SP_800-53,
CCI-000055,AC-10,NIST_SP_800-53_Revision_4,
CCI-002252,AC-10,NIST_SP_800-53_Revision_4,
CCI-002253,AC-10,NIST_SP_800-53_Revision_4,
CCI-000055,AC-10.1_(i),NIST_SP_800-53A,
CCI-000054,AC-10.1_(ii),NIST_SP_800-53A,
CCI-000058,AC-11,NIST_SP_800-53A,
CCI-000060,AC-11_(1),NIST_SP_800-53,
CCI-000060,AC-11_(1),NIST_SP_800-53_Revision_4,
CCI-000060,AC-11_(1).1,NIST_SP_800-53A,
CCI-000057,AC-11_a,NIST_SP_800-53,
CCI-000057,AC-11_a,NIST_SP_800-53_Revision_4,
CCI-000058,AC-11_a,NIST_SP_800-53,
CCI-000058,AC-11_a,NIST_SP_800-53_Revision_4,
CCI-000059,AC-11_a,NIST_SP_800-53,
CCI-000059,AC-11_a,NIST_SP_800-53_Revision_4,
CCI-000056,AC-11_b,NIST_SP_800-53,
CCI-000056,AC-11_b,NIST_SP_800-53_Revision_4,
CCI-000059,AC-11.1_(i),NIST_SP_800-53A,
CCI-000057,AC-11.1_(ii),NIST_SP_800-53A,
CCI-000056,AC-11.1_(iii),NIST_SP_800-53A,
CCI-002254,AC-12,NIST_SP_800-53_Revision_4,
CCI-002360,AC-12,NIST_SP_800-53_Revision_4,
CCI-002361,AC-12,NIST_SP_800-53_Revision_4,
CCI-002362,AC-12_(1),NIST_SP_800-53_Revision_4,
CCI-002363,AC-12_(1),NIST_SP_800-53_Revision_4,
CCI-002364,AC-12_(1),NIST_SP_800-53_Revision_4,
CCI-000062,AC-14_(1),NIST_SP_800-53,
CCI-000062,AC-14_(1).1,NIST_SP_800-53A,
CCI-000061,AC-14_a,NIST_SP_800-53,
CCI-000061,AC-14_a,NIST_SP_800-53_Revision_4,
CCI-002255,AC-14_a,NIST_SP_800-53_Revision_4,
CCI-000232,AC-14_b,NIST_SP_800-53,
CCI-000232,AC-14_b,NIST_SP_800-53_Revision_4,
CCI-000061,AC-14.1_(i),NIST_SP_800-53A,
CCI-000232,AC-14.1_(ii),NIST_SP_800-53A,
CCI-001396,AC-16,NIST_SP_800-53,
CCI-001397,AC-16,NIST_SP_800-53,
CCI-001398,AC-16,NIST_SP_800-53,
CCI-001399,AC-16,NIST_SP_800-53,
CCI-001400,AC-16,NIST_SP_800-53,
CCI-001401,AC-16,NIST_SP_800-53,
CCI-001424,AC-16_(1),NIST_SP_800-53,
CCI-001424,AC-16_(1),NIST_SP_800-53_Revision_4,
CCI-002272,AC-16_(1),NIST_SP_800-53_Revision_4,
CCI-002273,AC-16_(1),NIST_SP_800-53_Revision_4,
CCI-002274,AC-16_(1),NIST_SP_800-53_Revision_4,
CCI-002275,AC-16_(1),NIST_SP_800-53_Revision_4,
CCI-001424,AC-16_(1).1,NIST_SP_800-53A,
CCI-002305,AC-16_(10),NIST_SP_800-53_Revision_4,
CCI-002306,AC-16_(10),NIST_SP_800-53_Revision_4,
CCI-002307,AC-16_(10),NIST_SP_800-53_Revision_4,
CCI-002308,AC-16_(10),NIST_SP_800-53_Revision_4,
CCI-002309,AC-16_(10),NIST_SP_800-53_Revision_4,
CCI-001559,AC-16_(2),NIST_SP_800-53,
CCI-001559,AC-16_(2),NIST_SP_800-53_Revision_4,
CCI-001425,AC-16_(2),NIST_SP_800-53,
CCI-001425,AC-16_(2),NIST_SP_800-53_Revision_4,
CCI-002276,AC-16_(2),NIST_SP_800-53_Revision_4,
CCI-002277,AC-16_(2),NIST_SP_800-53_Revision_4,
CCI-001559,AC-16_(2).1_(i),NIST_SP_800-53A,
CCI-001425,AC-16_(2).1_(ii),NIST_SP_800-53A,
CCI-001426,AC-16_(3),NIST_SP_800-53,
CCI-002278,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002279,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002280,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002281,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002282,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002283,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-002284,AC-16_(3),NIST_SP_800-53_Revision_4,
CCI-001426,AC-16_(3).1,NIST_SP_800-53A,
CCI-001560,AC-16_(4),NIST_SP_800-53,
CCI-001560,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-001427,AC-16_(4),NIST_SP_800-53,
CCI-002285,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-002286,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-002287,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-002288,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-002289,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-002290,AC-16_(4),NIST_SP_800-53_Revision_4,
CCI-001560,AC-16_(4).1_(i),NIST_SP_800-53A,
CCI-001427,AC-16_(4).1_(ii),NIST_SP_800-53A,
CCI-001428,AC-16_(5),NIST_SP_800-53,
CCI-001428,AC-16_(5),NIST_SP_800-53_Revision_4,
CCI-001429,AC-16_(5),NIST_SP_800-53,
CCI-001429,AC-16_(5),NIST_SP_800-53_Revision_4,
CCI-001430,AC-16_(5),NIST_SP_800-53,
CCI-001430,AC-16_(5),NIST_SP_800-53_Revision_4,
CCI-001429,AC-16_(5).1_(i),NIST_SP_800-53A,
CCI-001430,AC-16_(5).1_(ii),NIST_SP_800-53A,
CCI-001428,AC-16_(5).1_(iii),NIST_SP_800-53A,
CCI-002291,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002292,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002293,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002294,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002295,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002296,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002297,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002298,AC-16_(6),NIST_SP_800-53_Revision_4,
CCI-002299,AC-16_(7),NIST_SP_800-53_Revision_4,
CCI-002300,AC-16_(8),NIST_SP_800-53_Revision_4,
CCI-002301,AC-16_(8),NIST_SP_800-53_Revision_4,
CCI-002302,AC-16_(8),NIST_SP_800-53_Revision_4,
CCI-002303,AC-16_(9),NIST_SP_800-53_Revision_4,
CCI-002304,AC-16_(9),NIST_SP_800-53_Revision_4,
CCI-002256,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002257,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002258,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002259,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002260,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002261,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002262,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002263,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002264,AC-16_a,NIST_SP_800-53_Revision_4,
CCI-002265,AC-16_b,NIST_SP_800-53_Revision_4,
CCI-002266,AC-16_b,NIST_SP_800-53_Revision_4,
CCI-002267,AC-16_c,NIST_SP_800-53_Revision_4,
CCI-002268,AC-16_c,NIST_SP_800-53_Revision_4,
CCI-002269,AC-16_c,NIST_SP_800-53_Revision_4,
CCI-002270,AC-16_d,NIST_SP_800-53_Revision_4,
CCI-002271,AC-16_d,NIST_SP_800-53_Revision_4,
CCI-001396,AC-16.1_(i),NIST_SP_800-53A,
CCI-001397,AC-16.1_(i),NIST_SP_800-53A,
CCI-001398,AC-16.1_(i),NIST_SP_800-53A,
CCI-001399,AC-16.1_(ii),NIST_SP_800-53A,
CCI-001400,AC-16.1_(ii),NIST_SP_800-53A,
CCI-001401,AC-16.1_(ii),NIST_SP_800-53A,
CCI-000067,AC-17_(1),NIST_SP_800-53,
CCI-000067,AC-17_(1),NIST_SP_800-53_Revision_4,
CCI-002313,AC-17_(1),NIST_SP_800-53_Revision_4,
CCI-002314,AC-17_(1),NIST_SP_800-53_Revision_4,
CCI-000067,AC-17_(1).1,NIST_SP_800-53A,
CCI-000068,AC-17_(2),NIST_SP_800-53,
CCI-000068,AC-17_(2),NIST_SP_800-53_Revision_4,
CCI-001453,AC-17_(2),NIST_SP_800-53,
CCI-001453,AC-17_(2),NIST_SP_800-53_Revision_4,
CCI-000068,AC-17_(2).1,NIST_SP_800-53A,
CCI-001453,AC-17_(2).1,NIST_SP_800-53A,
CCI-001561,AC-17_(3),NIST_SP_800-53,
CCI-001561,AC-17_(3),NIST_SP_800-53_Revision_4,
CCI-000069,AC-17_(3),NIST_SP_800-53,
CCI-000069,AC-17_(3),NIST_SP_800-53_Revision_4,
CCI-002315,AC-17_(3),NIST_SP_800-53_Revision_4,
CCI-001561,AC-17_(3).1_(i),NIST_SP_800-53A,
CCI-000069,AC-17_(3).1_(ii),NIST_SP_800-53A,
CCI-000070,AC-17_(4),NIST_SP_800-53,
CCI-001437,AC-17_(4),NIST_SP_800-53,
CCI-000070,AC-17_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-002316,AC-17_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-002317,AC-17_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-002318,AC-17_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-002319,AC-17_(4)_(b),NIST_SP_800-53_Revision_4,
CCI-002320,AC-17_(4)_(b),NIST_SP_800-53_Revision_4,
CCI-000070,AC-17_(4).1_(i),NIST_SP_800-53A,
CCI-001437,AC-17_(4).1_(ii),NIST_SP_800-53A,
CCI-001562,AC-17_(5),NIST_SP_800-53,
CCI-000071,AC-17_(5),NIST_SP_800-53,
CCI-001431,AC-17_(5),NIST_SP_800-53,
CCI-001432,AC-17_(5),NIST_SP_800-53,
CCI-001431,AC-17_(5).1_(i),NIST_SP_800-53A,
CCI-000071,AC-17_(5).1_(ii),NIST_SP_800-53A,
CCI-001562,AC-17_(5).1_(iii),NIST_SP_800-53A,
CCI-001432,AC-17_(5).1_(iv),NIST_SP_800-53A,
CCI-000072,AC-17_(6),NIST_SP_800-53,
CCI-000072,AC-17_(6),NIST_SP_800-53_Revision_4,
CCI-000072,AC-17_(6).1,NIST_SP_800-53A,
CCI-000079,AC-17_(7),NIST_SP_800-53,
CCI-001433,AC-17_(7),NIST_SP_800-53,
CCI-001434,AC-17_(7),NIST_SP_800-53,
CCI-001454,AC-17_(7),NIST_SP_800-53,
CCI-001433,AC-17_(7).1_(i),NIST_SP_800-53A,
CCI-001434,AC-17_(7).1_(ii),NIST_SP_800-53A,
CCI-000079,AC-17_(7).1_(iii),NIST_SP_800-53A,
CCI-001454,AC-17_(7).1_(iv),NIST_SP_800-53A,
CCI-001435,AC-17_(8),NIST_SP_800-53,
CCI-001436,AC-17_(8),NIST_SP_800-53,
CCI-001455,AC-17_(8),NIST_SP_800-53,
CCI-001435,AC-17_(8).1_(i),NIST_SP_800-53A,
CCI-001436,AC-17_(8).1_(ii),NIST_SP_800-53A,
CCI-001455,AC-17_(8).1_(ii),NIST_SP_800-53A,
CCI-002321,AC-17_(9),NIST_SP_800-53_Revision_4,
CCI-002322,AC-17_(9),NIST_SP_800-53_Revision_4,
CCI-000063,AC-17_a,NIST_SP_800-53,
CCI-000063,AC-17_a,NIST_SP_800-53_Revision_4,
CCI-002310,AC-17_a,NIST_SP_800-53_Revision_4,
CCI-002311,AC-17_a,NIST_SP_800-53_Revision_4,
CCI-002312,AC-17_a,NIST_SP_800-53_Revision_4,
